V1,V2,V3
-12.6254180602007,57.9329896907216,-1594.80249023438
-12.5585284280936,57.9329896907216,-1664.11242675781
-12.4916387959866,57.9329896907216,-1717.80603027344
-12.4247491638796,57.9329896907216,-1738.02600097656
-12.3578595317726,57.9329896907216,-1738.46606445312
-12.2909698996656,57.9329896907216,-1730.61608886719
-12.2240802675585,57.9329896907216,-1732.10607910156
-12.1571906354515,57.9329896907216,-1735.28601074219
-12.0903010033445,57.9329896907216,-1743.61608886719
-12.0234113712375,57.9329896907216,-1767.69604492188
-11.9565217391304,57.9329896907216,-1787.81286621094
-11.8896321070234,57.9329896907216,-1815.04284667969
-11.8227424749164,57.9329896907216,-1828.73291015625
-11.7558528428094,57.9329896907216,-1830.78283691406
-11.6889632107023,57.9329896907216,-1852.45288085938
-11.6220735785953,57.9329896907216,-1901.6728515625
-11.5551839464883,57.9329896907216,-1931.83288574219
-11.4882943143813,57.9329896907216,-1948.41284179688
-11.4214046822742,57.9329896907216,-1981.92028808594
-11.3545150501672,57.9329896907216,-2004.73034667969
-11.2876254180602,57.9329896907216,-2002.48034667969
-11.2207357859532,57.9329896907216,-1989.38037109375
-11.1538461538462,57.9329896907216,-1995.60034179688
-11.0869565217391,57.9329896907216,-2018.59033203125
-11.0200668896321,57.9329896907216,-2035.04028320312
-10.9531772575251,57.9329896907216,-2056.93041992188
-10.8862876254181,57.9329896907216,-2078.80200195312
-10.819397993311,57.9329896907216,-2089.97216796875
-10.752508361204,57.9329896907216,-2095.751953125
-10.685618729097,57.9329896907216,-2101.28198242188
-10.61872909699,57.9329896907216,-2100.10205078125
-10.5518394648829,57.9329896907216,-2085.751953125
-10.4849498327759,57.9329896907216,-2071.10205078125
-10.4180602006689,57.9329896907216,-2073.22216796875
-10.3511705685619,57.9329896907216,-2082.23950195312
-10.2842809364549,57.9329896907216,-2057.79956054688
-10.2173913043478,57.9329896907216,-2040.04956054688
-10.1505016722408,57.9329896907216,-2033.20959472656
-10.0836120401338,57.9329896907216,-1987.00964355469
-10.0167224080268,57.9329896907216,-1938.35961914062
-9.94983277591973,57.9329896907216,-1851.81958007812
-9.88294314381271,57.9329896907216,-1680.36962890625
-9.81605351170569,57.9329896907216,-1501.47729492188
-9.74916387959866,57.9329896907216,-1168.84729003906
-9.68227424749164,57.9329896907216,-789.357360839844
-9.61538461538462,57.9329896907216,-548.4873046875
-9.54849498327759,57.9329896907216,-426.127319335938
-9.48160535117057,57.9329896907216,-345.307342529297
-9.41471571906355,57.9329896907216,-290.217346191406
-9.34782608695652,57.9329896907216,-249.417327880859
-9.2809364548495,57.9329896907216,-220.112503051758
-9.21404682274247,57.9329896907216,-196.412506103516
-9.14715719063545,57.9329896907216,-174.392501831055
-9.08026755852843,57.9329896907216,-158.542495727539
-9.01337792642141,57.9329896907216,-148.112503051758
-8.94648829431438,57.9329896907216,-143.792495727539
-8.87959866220736,57.9329896907216,-142.892501831055
-8.81270903010034,57.9329896907216,-143.932495117188
-8.74581939799331,57.9329896907216,-141.859985351562
-8.67892976588629,57.9329896907216,-135.969985961914
-8.61204013377926,57.9329896907216,-120.249984741211
-8.54515050167224,57.9329896907216,-104.099990844727
-8.47826086956522,57.9329896907216,-81.0799865722656
-8.41137123745819,57.9329896907216,-98.1299896240234
-8.34448160535117,57.9329896907216,-117.739990234375
-8.27759197324415,57.9329896907216,-132.049987792969
-8.21070234113713,57.9329896907216,-128.20539855957
-8.1438127090301,57.9329896907216,-116.185401916504
-8.07692307692308,57.9329896907216,-107.345397949219
-8.01003344481606,57.9329896907216,-85.6154022216797
-7.94314381270903,57.9329896907216,-78.4453964233398
-7.87625418060201,57.9329896907216,-81.9654006958008
-7.80936454849498,57.9329896907216,-80.3254013061523
-7.74247491638796,57.9329896907216,-89.1253967285156
-7.67558528428094,57.9329896907216,-102.772895812988
-7.60869565217391,57.9329896907216,-106.622894287109
-7.54180602006689,57.9329896907216,-92.9528961181641
-7.47491638795987,57.9329896907216,-67.5528945922852
-7.40802675585284,57.9329896907216,-46.0028953552246
-7.34113712374582,57.9329896907216,-38.2428932189941
-7.2742474916388,57.9329896907216,-36.9028930664062
-7.20735785953177,57.9329896907216,-35.0128936767578
-7.14046822742475,57.9329896907216,-31.9948883056641
-7.07357859531773,57.9329896907216,-20.3848876953125
-7.0066889632107,57.9329896907216,20.1351127624512
-6.93979933110368,57.9329896907216,0.655112326145172
-6.87290969899666,57.9329896907216,112.905113220215
-6.80602006688963,57.9329896907216,138.135116577148
-6.73913043478261,57.9329896907216,89.9151153564453
-6.67224080267559,57.9329896907216,103.465110778809
-6.60535117056856,57.9329896907216,-21.0251846313477
-6.53846153846154,57.9329896907216,-43.3251838684082
-6.47157190635452,57.9329896907216,-98.3551864624023
-6.40468227424749,57.9329896907216,-76.9951858520508
-6.33779264214047,57.9329896907216,-38.1451873779297
-6.27090301003345,57.9329896907216,-69.7651824951172
-6.20401337792642,57.9329896907216,-85.3651885986328
-6.1371237458194,57.9329896907216,-73.1051864624023
-6.07023411371237,57.9329896907216,-72.7866058349609
-6.00334448160535,57.9329896907216,-89.0766067504883
-5.93645484949833,57.9329896907216,-109.93660736084
-5.8695652173913,57.9329896907216,-124.556610107422
-5.80267558528428,57.9329896907216,-68.3466033935547
-5.73578595317726,57.9329896907216,-45.8866081237793
-5.66889632107024,57.9329896907216,-41.8366050720215
-5.60200668896321,57.9329896907216,16.0133934020996
-5.53511705685619,57.9329896907216,12.0627632141113
-5.46822742474917,57.9329896907216,-57.8372383117676
-5.40133779264214,57.9329896907216,-1.04723691940308
-5.33444816053512,57.9329896907216,55.5427627563477
-5.26755852842809,57.9329896907216,91.2627639770508
-5.20066889632107,57.9329896907216,134.41276550293
-5.13377926421405,57.9329896907216,111.692764282227
-5.06688963210702,57.9329896907216,211.612762451172
-5,57.9329896907216,322.211547851562
-25,57.8659793814433,-2755.70263671875
-24.933110367893,57.8659793814433,-2764.5625
-24.866220735786,57.8659793814433,-2774.03271484375
-24.7993311036789,57.8659793814433,-2777.04467773438
-24.7324414715719,57.8659793814433,-2787.474609375
-24.6655518394649,57.8659793814433,-2798.62451171875
-24.5986622073579,57.8659793814433,-2801.53466796875
-24.5317725752508,57.8659793814433,-2811.88452148438
-24.4648829431438,57.8659793814433,-2817.224609375
-24.3979933110368,57.8659793814433,-2832.57470703125
-24.3311036789298,57.8659793814433,-2847.3046875
-24.2642140468227,57.8659793814433,-2865.52026367188
-24.1973244147157,57.8659793814433,-2884.0302734375
-24.1304347826087,57.8659793814433,-2894.63037109375
-24.0635451505017,57.8659793814433,-2904.80029296875
-23.9966555183947,57.8659793814433,-2918.9404296875
